SecurityID | ExchangeID | TypeID | Ticker | Name
458        | 1          | 1      | X      | United States Steel Corp.
459        | 1          | 1      | UTX    | United Technologies
460        | 1          | 1      | UNM    | Unum Group
461        | 2          | 1      | URB    | Urban Outfitters
462        | 1          | 1      | VFC    | V.F. Corp.
463        | 1          | 1      | VLO    | Valero Energy
464        | 1          | 1      | VAR    | Varian Medical Systems
465        | 1          | 1      | VTR    | Ventas Inc
466        | 2          | 1      | VRS    | Verisign Inc.
467        | 1          | 1      | VZ     | Verizon Communications
468        | 2          | 1      | VIAB   | Viacom Inc.
469        | 1          | 1      | V      | Visa Inc.
470        | 1          | 1      | VNO    | Vornado Realty Trust
471        | 1          | 1      | VMC    | Vulcan Materials
472        | 1          | 1      | WMT    | Wal-Mart Stores
473        | 1          | 1      | WAG    | Walgreen Co.
474        | 1          | 1      | DIS    | Walt Disney Co.
475        | 1          | 1      | WPO    | Washington Post Co B
476        | 1          | 1      | WM     | Waste Management Inc.
477        | 1          | 1      | WAT    | Waters Corporatio
478        | 1          | 1      | WPI    | Watson Pharmaceuticals
479        | 1          | 1      | WLP    | WellPoint Inc.
480        | 1          | 1      | WFC    | Wells Fargo
481        | 1          | 1      | WDC    | Western Digital
482        | 1          | 1      | WU     | Western Union Co
483        | 1          | 1      | WY     | Weyerhaeuser Corp.
484        | 1          | 1      | WHR    | Whirlpool Corp.
485        | 2          | 1      | WFM    | Whole Foods Market
486        | 1          | 1      | WMB    | Williams Cos.
487        | 1          | 1      | WI     | Windstream Corporation
488        | 1          | 1      | WEC    | Wisconsin Energy Corporation
489        | 1          | 1      | WPX    | WPX Energy | Inc.
490        | 1          | 1      | WY     | Wyndham Worldwide
491        | 2          | 1      | WYN    | Wynn Resorts Ltd
492        | 1          | 1      | XEL    | Xcel Energy Inc
493        | 1          | 1      | XRX    | Xerox Corp.
494        | 2          | 1      | XLNX   | Xilinx Inc
495        | 1          | 1      | XL     | XL Capital
496        | 1          | 1      | XYL    | Xylem Inc.
497        | 2          | 1      | YHOO   | Yahoo Inc.
498        | 1          | 1      | YUM    | Yum! Brands Inc
499        | 1          | 1      | ZMH    | Zimmer Holdings
500        | 2          | 1      | ZIO    | Zions Bancorp
